Issue,Severity,Areas,Filename,Assembly,Descriptor,Ignored
"'System.String.Concat' usage","Info","Memory","UnitStatsPopup.cs:21","Assembly-CSharp","System.String.Concat","False"
"'System.String.Concat' usage","Info","Memory","UnitStatsPopup.cs:22","Assembly-CSharp","System.String.Concat","False"
"'System.String.Concat' usage","Info","Memory","UnitStatsPopup.cs:23","Assembly-CSharp","System.String.Concat","False"
"'System.Converter`2<Skill,System.String>' allocation","Info","Memory","UnitStatsPopup.cs:25","Assembly-CSharp","Object Allocation","False"
"Closure allocation in 'Utils.Visible'","Info","Memory","Utils.cs:0","Assembly-CSharp","Closure Allocation","False"
"'System.Func`2<Unit,System.Boolean>' allocation","Info","Memory","Utils.cs:26","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.Where' usage","Moderate","CPU, Memory","Utils.cs:26","Assembly-CSharp","System.Linq.*","False"
"'EconomyCandidateAction' allocation","Info","Memory","EconomyAI.cs:54","Assembly-CSharp","Object Allocation","False"
"'EconomyCandidateAction' allocation","Info","Memory","EconomyAI.cs:214","Assembly-CSharp","Object Allocation","False"
"'System.Func`2<City,System.Boolean>' allocation","Info","Memory","EconomyAI.cs:76","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.Where' usage","Moderate","CPU, Memory","EconomyAI.cs:76","Assembly-CSharp","System.Linq.*","False"
"'EconomyCandidateAction' allocation","Info","Memory","EconomyAI.cs:87","Assembly-CSharp","Object Allocation","False"
"'System.Func`2<CandidateAction,System.Single>' allocation","Info","Memory","TacticsAI.cs:37","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.OrderByDescending' usage","Moderate","CPU, Memory","TacticsAI.cs:37","Assembly-CSharp","System.Linq.*","False"
"'System.Linq.Enumerable.Take' usage","Moderate","CPU, Memory","TacticsAI.cs:37","Assembly-CSharp","System.Linq.*","False"
"'UnityEngine.WaitForSeconds' allocation","Info","Memory","TacticsAI.cs:483","Assembly-CSharp","Object Allocation","False"
"Closure allocation in '<GenerateCandidates>d__10.MoveNext'","Info","Memory","TacticsAI.cs:0","Assembly-CSharp","Closure Allocation","False"
"'System.Func`2<Skill,System.Boolean>' allocation","Info","Memory","TacticsAI.cs:177","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.Any' usage","Moderate","CPU, Memory","TacticsAI.cs:177","Assembly-CSharp","System.Linq.*","False"
"'System.Collections.Generic.List`1<Tile>' allocation","Info","Memory","TacticsAI.cs:180","Assembly-CSharp","Object Allocation","False"
"'System.Func`2<Tile,System.Boolean>' allocation","Info","Memory","TacticsAI.cs:184","Assembly-CSharp","Object Allocation","False"
